"C.digo";"Nombre";"Formaci.n.posgrado";"Posgrado.en.formaci.n";"Doctores.TC";"Estudiantes.por.docente.TC";"Horas.clase.TC";"Porcentaje.de.profesores.TC";"Horas.clase.MT.TP";"Titularidad";"Titularidad.TC";"Concurso";"Escalaf.n";"Evaluaci.n";"Remuneraci.n.TC";"Remuneraci.n.MT.TP";"Direcci.n.mujeres";"Docencia.mujeres";"Eficiencia.terminal.posgrado";"Eficiencia.terminal.pregrado";"Tasa.de.retenci.n.inicial.pregrado";"Admisi.n.a.estudios.de.pregrado";"Admisi.n.a.estudios.de.posgrado";"Planificaci.n.de.la.investigaci.n";"Investigaci.n.regional";"Producci.n.cient.fica";"Libros.revisados.por.pares";"Uso.del.seguimiento.a.graduados";"Programas.de.vinculaci.n";"Presupuesto.de.programas.de.vinculaci.n";"Rendici.n.anual.de.cuentas";"Transparencia.financiera";"X.tica.y.responsabilidad";"Calidad.del.gasto";"Informaci.n.para.la.evaluaci.n";"R.gimen.acad.mico";"Acci.n.afirmativa";"Espacio.para.estudiantes";"T.tulos.de.libros";"Gesti.n.de.biblioteca";"Consultas.por.usuario";"Conectividad";"Innovaci.n.tecnol.gica";"Cobertura.a.estudiantes";"Calidad.de.aulas";"Oficinas.TC";"Oficinas.MT.TP";"Espacios.de.bienestar";"oferta";"mantenimiento";"INSTITUCION";"CA08";"CA05";"CA03";"CA01";"CA02";"CA07";"CA09";"CA10";"region";"Academia";"Organizacion";"Investigacion";"Infraestructura";"Eficiencia";"factor_ponderacion";"valoracion";"nueva_valoracion";"ctgr"
1012;"UNIVERSIDAD TECNICA LUIS VARGAS TORRES DE ESMERALDAS";17,60784314;0;0,326797386;41,82017544;14,80029992;61,00146199;12,9047117;45,68627451;97,36842105;0;"BAJO";"MEDIO";1856,876717;4,72461768;4,838709677;16,30901288;16,32653061;8,012675419;46,15594082;"ALTO";"BAJO";"BAJO";0;0;0,003267974;"MEDIO";0;4,086892884;"BAJO";"ALTO";"BAJO";0,689361038;"BAJO";"MEDIO";"MEDIO";34,69343066;1,122343783;"MEDIO";26,05300752;38,8277656;"ALTO";100;70,35175879;4;7,05;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA LUIS VARGAS TORRES DE ESMERALDAS";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"Costa";0,378;0,005;0,456;0,3;0,512;0,015270073;0,325;0,329962774;"D"
1013;"UNIVERSIDAD TECNICA DE BABAHOYO";15,31609195;0,002304147;0,239463602;34,9380531;14,11111111;49,51827005;17,125;24,56896552;55,75221239;0;"ALTO";"MEDIO";2224,337454;1,332856579;1,5625;26,31578947;0;0;52,01005025;"ALTO";"ALTO";"BAJO";0;0;0;"MEDIO";0;0,068510797;"ALTO";"ALTO";"ALTO";0,814581786;"BAJO";"ALTO";"MEDIO";20,53448276;0,975650714;"ALTO";109,9715569;51,13825652;"ALTO";100;99,45652174;3,095890411;15,16129032;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA DE BABAHOYO";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"Costa";0,398;0;0,669;0,453;0,55;0,011242096;0,393;0,397418144;"C"
1014;"UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO";22,55905512;0,093103448;1,312335958;25,44589552;12,51313361;53,31206869;10,47240189;42,91338583;57,46268657;0;"BAJO";"ALTO";1536,7551;39,27615286;10,20408163;22,01834862;38,125;6,064516129;44,76744186;"ALTO";"MEDIO";"MEDIO";0,116469816;0,039617913;0,00656168;"MEDIO";0,176470588;0,693519011;"ALTO";"ALTO";"ALTO";0,239123961;"ALTO";"ALTO";"MEDIO";25,46443966;1,978756718;"ALTO";16,13020134;106,454128;"ALTO";100;100;3,228915663;1,678321678;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,427;0,136;0,708;0,858;0,677;0,009164277;0,493;0,497517988;"B"
1015;"UNIVERSIDAD TECNICA DEL NORTE";14,58333333;0,010752688;1,157407407;52,52419355;10,54377059;57,37296219;11,07040253;40,625;45,16129032;0;"BAJO";"MEDIO";2448,054942;10,91171298;8,695652174;23,07692308;26,21359223;14,91416309;72,42990654;"ALTO";"ALTO";"MEDIO";0,037615741;0,005254225;0,011574074;"ALTO";0,377777778;1,962851704;"ALTO";"ALTO";"ALTO";0,52445988;"MEDIO";"ALTO";"ALTO";11,11379928;2,408127066;"ALTO";80,99570585;68,70098323;"ALTO";93,75;92,53731343;2;6,191780822;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA DEL NORTE";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,424;0,099;0,671;0,751;0,774;0,008642926;0,476;0,480114033;"B"
1016;"UNIVERSIDAD LAICA ELOY ALFARO DE MANABI";16,13636364;0;0,355113636;80,91887417;14,76422742;33,7196468;15,00941915;41,05113636;11,25827815;25,92592593;"BAJO";"MEDIO";1476,418052;38,97240082;13,95348837;23,87543253;0;20,89927154;99,87935657;"ALTO";"ALTO";"BAJO";0;0;0;"MEDIO";0,15625;8,5717779;"ALTO";"ALTO";"MEDIO";0,615077108;"BAJO";"MEDIO";"MEDIO";55,22794118;0,502688365;"BAJO";50,2344186;23,39365414;"MEDIO";81,57894737;76,83615819;1,258333333;12,02173913;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD LAICA ELOY ALFARO DE MANABI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,27;0;0,509;0,459;0,431;0,123903464;0,299;0,336047136;"D"
1017;"UNIVERSIDAD ESTATAL DE BOLIVAR";19,25636008;0,003496503;4,240052185;24,27631579;16,95491859;35,64233164;15,28183275;42,85714286;77,89473684;0;"MEDIO";"ALTO";1943,764605;6,508761292;23,21428571;26,48401826;0;0;25,39267016;"ALTO";"ALTO";"BAJO";0;0;0;"MEDIO";0,208333333;0,350840357;"MEDIO";"MEDIO";"ALTO";0,475860742;"MEDIO";"ALTO";"ALTO";26,37091503;1,697998637;"ALTO";6,595049505;255,366292;"ALTO";68,18181818;95,28301887;4,042553191;4,938461538;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD ESTATAL DE BOLIVAR";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,409;0;0,648;0,594;0,427;0,00599185;0,396;0,398372772;"C"
1018;"UNIVERSIDAD AGRARIA DEL ECUADOR";18;0;0;103,127451;23,7517776;86,09002741;20,03441054;22,72727273;70,58823529;0;"MEDIO";"MEDIO";2493,826605;19,62193502;14,28571429;25,33333333;0;4,329608939;53,57894737;"ALTO";"MEDIO";"BAJO";0;0;0;"MEDIO";0;1,981132623;"MEDIO";"MEDIO";"MEDIO";0,365473713;"BAJO";"ALTO";"ALTO";50,83578431;0,551757389;"ALTO";0;17,86179083;"ALTO";47,36842105;44,16666667;1,416666667;4,982142857;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD AGRARIA DEL ECUADOR";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"Costa";0,375;0;0,444;0,519;0,502;0,006791487;0,341;0,343315897;"D"
1019;"UNIVERSIDAD NACIONAL DE CHIMBORAZO";20,30627871;0,029102167;0,255232261;58,89370079;13,12965837;65,32681399;11,80073138;40,58192956;89,76377953;0;"ALTO";"MEDIO";2124,497689;18,6328387;4,761904762;34,71698113;1,612903226;13,56650768;68,94563427;"ALTO";"ALTO";"MEDIO";0,017866258;0;0;"MEDIO";0,226415094;0,94892044;"MEDIO";"ALTO";"MEDIO";0,480809964;"MEDIO";"ALTO";"ALTO";32,54953917;0,684812232;"BAJO";16,33634312;81,29375185;"MEDIO";59,375;78,39506173;21,16666667;6,261904762;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD NACIONAL DE CHIMBORAZO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,467;0,075;0,479;0,632;0,643;0,010390251;0,425;0,429415857;"C"
1020;"UNIVERSIDAD TECNICA DE COTOPAXI";18,80095923;0,039130435;0,399680256;24,81439394;15,08048131;47,96554252;14,34012028;28,29736211;1,136363636;7,547169811;"ALTO";"ALTO";1740,312264;9,521559858;14,28571429;32,20338983;23,96694215;15,36885246;100;"ALTO";"ALTO";"BAJO";0,07793765;0;0,011990408;"ALTO";0;2,543530791;"ALTO";"ALTO";"ALTO";0,358248822;"MEDIO";"ALTO";"ALTO";13,73940678;0,895605243;"ALTO";39,96953026;41,67761271;"ALTO";100;93,85964912;1,222222222;4,935483871;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA DE COTOPAXI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"Sierra";0,33;0,021;0,784;0,758;0,516;0,008705992;0,42;0,423656517;"C"
1021;"ESCUELA SUPERIOR POLITECNICA DEL LITORAL";35,60301508;0,140776699;11,5159129;48,29449153;5,788563662;56,25455622;7,127409517;21,48241206;59,74576271;25,92592593;"ALTO";"MEDIO";4292,48635;24,57291073;50;12,28070175;24,3498818;18,5156552;85,47826087;"MEDIO";"MEDIO";"MEDIO";0,026172529;0,301280667;0;"MEDIO";0,086206897;1,571542303;"ALTO";"ALTO";"ALTO";0,493823776;"ALTO";"ALTO";"ALTO";8,467735849;3,036966064;"ALTO";0;146,7781977;"ALTO";100;97,23502304;0,855072464;2,814070352;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"ESCUELA SUPERIOR POLITECNICA DEL LITORAL";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,626;0,325;0,855;0,75;0,387;0,021424048;0,6;0,612854429;"A"
1022;"UNIVERSIDAD ANDINA SIMON BOLIVAR";48,57142857;0,052631579;14,28571429;47,075;4,969060453;90,53091398;6,054282079;17,14285714;77,5;0;"ALTO";"MEDIO";2473,985424;31,98119397;0;13,88888889;16,65306122;0;0;"ALTO";"ALTO";"ALTO";0,996031746;1,293221349;0,531746032;"MEDIO";0,028571429;2,348096916;"ALTO";"MEDIO";"MEDIO";1,200338067;"MEDIO";"MEDIO";"MEDIO";31,38333333;26,55337228;"ALTO";111,3726708;56,16262743;"ALTO";100;100;0,727272727;1,47826087;"ALTO";"Posgrado";"P<fa>blica";"UNIVERSIDAD ANDINA SIMON BOLIVAR";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"Sierra";0,572;0,768;0,422;0,901;0,4;0,003515506;0,621;0,623183129;"A"
1023;"UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA";24,02985075;0,023391813;2,487562189;19,79854369;13,13834899;42,02682952;11,27090341;29,60199005;43,68932039;0;"MEDIO";"MEDIO";1935,96366;10,41055469;16,66666667;38,65546218;0;16,88888889;100;"MEDIO";"BAJO";"BAJO";0;0;0;"ALTO";6,25;5,828333829;"ALTO";"MEDIO";"MEDIO";0,593498221;"MEDIO";"ALTO";"MEDIO";28,95;1,220239238;"ALTO";592,1947905;63,98928751;"ALTO";5,405405405;100;13,73333333;21,77777778;"MEDIO";"Pregrado";"P<fa>blica";"UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,385;0,583;0;0,541;0,298;0,005401299;0,382;0,384063296;"C"
1024;"UNIVERSIDAD ESTATAL DE MILAGRO";19,28104575;0,006134969;1,089324619;49,95798319;10,74597658;46,62284269;11,43846097;38,5620915;62,18487395;76,47058824;"ALTO";"ALTO";2300,439418;9,811308821;27,27272727;40,6779661;0;29,02155887;65,76832151;"ALTO";"ALTO";"BAJO";0,19335512;0;0,005446623;"ALTO";0,4;1,101689595;"ALTO";"ALTO";"ALTO";0,647244113;"MEDIO";"ALTO";"ALTO";21,96525097;2,004921779;"ALTO";658,1173752;53,48666176;"ALTO";90,47619048;100;0,815068493;0,545189504;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD ESTATAL DE MILAGRO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,51;0,012;0,839;0,729;0,731;0,007750773;0,52;0,524030402;"B"
1025;"UNIVERSIDAD ESTATAL DEL SUR DE MANABI";18,93069307;0;0,330033003;23,07027027;12,94366163;17,20575414;10,02487225;19,40594059;11,35135135;0;"ALTO";"ALTO";870,2098063;10,19646698;5,555555556;41,83673469;87,55760369;26,85185185;96,01301871;"ALTO";"MEDIO";"BAJO";0,04950495;0;0;"ALTO";0;0,693807157;"ALTO";"ALTO";"ALTO";0,74820218;"BAJO";"ALTO";"ALTO";49,15294118;0,403781714;"ALTO";14,25963719;25,08598328;"MEDIO";77,27272727;94,59459459;23,125;4,210526316;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD ESTATAL DEL SUR DE MANABI";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"Costa";0,245;0,001;0,471;0,573;0,455;0,005604091;0,295;0,296653207;"D"
1026;"FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES";69,14285714;0,166666667;46,42857143;17,57692308;3,809435805;85,66997519;4,765452659;27,14285714;78,84615385;0;"BAJO";"MEDIO";3953,706205;54,85489927;7,692307692;34,21052632;55,3030303;0;0;"ALTO";"ALTO";"ALTO";0,226190476;0,993922857;0,238095238;"MEDIO";0,071428571;1,45624829;"ALTO";"ALTO";"ALTO";0,438962019;"ALTO";"ALTO";"ALTO";2,443850267;40,47155361;"ALTO";337,516129;82,90099511;"ALTO";100;100;0,962962963;4,4;"ALTO";"Posgrado";"P<fa>blica";"FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,815;0,594;0,759;0,996;0,4;0,00290515;0,748;0,750173052;"A"
1027;"PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR";14,0040404;0,003492433;2,626262626;33,67160279;12,60829415;29,94829718;10,96480217;45,45454545;51,39372822;9,210526316;"MEDIO";"MEDIO";2449,594656;19,74465119;27,36842105;29,15555556;9,307359307;12,33637445;75,12173528;"MEDIO";"MEDIO";"MEDIO";0,01043771;0,109419138;0,002693603;"MEDIO";0,02962963;0,06337874;"ALTO";"ALTO";"MEDIO";1,013067976;"MEDIO";"MEDIO";"MEDIO";16,85;5,278733927;"ALTO";423,5830453;49,45283397;"ALTO";97,05882353;88,51590106;1,564032698;17,12612613;"ALTO";"Pregrado & Posgrado";"Cofinanciada";"PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,451;0,223;0,757;0,437;0,485;0,073893589;0,469;0,503656093;"B"
1028;"UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL";27,06656913;0,035123967;0,243842965;75,94472362;15,23346255;9,442373156;8,623762889;32,47988296;4,020100503;0;"ALTO";"MEDIO";2525,016327;28,55145676;7,352941176;30,18018018;19,4214876;18,05856833;47,13888889;"ALTO";"ALTO";"MEDIO";0,078029749;0,255140661;0,012192148;"ALTO";0,079365079;2,91885241;"ALTO";"ALTO";"ALTO";0,388835864;"MEDIO";"ALTO";"ALTO";25,18968531;3,635326231;"ALTO";61,47384615;53,17354577;"ALTO";100;96,12676056;0,480676329;4,458015267;"ALTO";"Pregrado & Posgrado";"Cofinanciada";"UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"Costa";0,418;0,315;0,792;0,762;0,746;0,03893702;0,54;0,561025991;"B"
1029;"UNIVERSIDAD CATOLICA DE CUENCA";9,835234474;0,013445378;0;53,97773279;13,22538215;30,28165948;10,13269265;62,35741445;57,89473684;0;"ALTO";"MEDIO";1594,718574;13,61212492;11,25;27,03252033;0;0;99,78947368;"MEDIO";"MEDIO";"BAJO";0;0;0;"MEDIO";0;0;"MEDIO";"MEDIO";"MEDIO";0,209170729;"MEDIO";"MEDIO";"MEDIO";27,0546875;0,782118534;"ALTO";19,53985873;42,52564103;"MEDIO";41,66666667;17,34317343;1,635761589;4,301587302;"ALTO";"Pregrado";"Cofinanciada";"UNIVERSIDAD CATOLICA DE CUENCA";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,291;0,58;0;0,547;0,15;0,029000192;0,33;0,339570063;"D"
1030;"UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL";16,10486891;0;0;131,7884615;13,25521627;45,09408602;12,04604395;49,43820225;69,23076923;0;"BAJO";"ALTO";2020,937014;16,83215161;40;35,60606061;0;1,795332136;19,3961952;"MEDIO";"MEDIO";"BAJO";0,009363296;0;0,006242197;"BAJO";0,125;0,673998395;"BAJO";"MEDIO";"MEDIO";0;"MEDIO";"ALTO";"ALTO";50,08088235;0,695052122;"ALTO";283,7472284;29,08935959;"ALTO";100;100;0,838709677;8,6;"MEDIO";"Pregrado & Posgrado";"Cofinanciada";"UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"Costa";0,41;0,01;0,632;0,415;0,258;0,009223043;0,36;0,363320295;"C"
